Date,Close
5/13/2014,38.032001
5/14/2014,38.124001
5/15/2014,37.717999
5/16/2014,38.312
5/19/2014,39.217999
5/20/2014,39.060001
5/21/2014,39.889999
5/22/2014,40.976002
5/23/2014,41.459999
5/27/2014,42.312
5/28/2014,42.048
5/29/2014,42.048
5/30/2014,41.554001
6/2/2014,40.939999
6/3/2014,40.987999
6/4/2014,40.798
6/5/2014,41.380001
6/6/2014,41.633999
6/9/2014,41.062
6/10/2014,40.459999
6/11/2014,40.894001
6/12/2014,40.703999
6/13/2014,41.284
6/16/2014,44.922001
6/17/2014,46.334
6/18/2014,45.424
6/19/2014,45.557999
6/20/2014,45.917999
6/23/2014,47.444
6/24/2014,46.5
6/25/2014,47.377998
6/26/2014,47.119999
6/27/2014,47.812
6/30/2014,48.012001
7/1/2014,47.944
7/2/2014,45.886002
7/3/2014,45.849998
7/7/2014,44.532001
7/8/2014,43.813999
7/9/2014,44.612
7/10/2014,43.891998
7/11/2014,43.625999
7/14/2014,45.34
7/15/2014,43.916
7/16/2014,43.431999
7/17/2014,43.080002
7/18/2014,44.004002
7/21/2014,44.108002
7/22/2014,43.916
7/23/2014,44.498001
7/24/2014,44.708
7/25/2014,44.714001
7/28/2014,44.964001
7/29/2014,45.001999
7/30/2014,45.784
7/31/2014,44.66
8/1/2014,46.653999
8/4/2014,47.703999
8/5/2014,47.698002
8/6/2014,49.785999
8/7/2014,50.478001
8/8/2014,49.625999
8/11/2014,51.863998
8/12/2014,51.992001
8/13/2014,52.062
8/14/2014,52.276001
8/15/2014,52.402
8/18/2014,51.987999
8/19/2014,51.352001
8/20/2014,51.141998
8/21/2014,50.868
8/22/2014,51.355999
8/25/2014,52.509998
8/26/2014,52.348
8/27/2014,52.650002
8/28/2014,52.771999
8/29/2014,53.939999
9/2/2014,56.824001
9/3/2014,56.237999
9/4/2014,57.208
9/5/2014,55.478001
9/8/2014,56.422001
9/9/2014,55.695999
9/10/2014,56.220001
9/11/2014,56.062
9/12/2014,55.84
9/15/2014,50.771999
9/16/2014,52.147999
9/17/2014,52.276001
9/18/2014,52.764
9/19/2014,51.863998
9/22/2014,50.006001
9/23/2014,50.082001
9/24/2014,50.428001
9/25/2014,49.389999
9/26/2014,49.32
9/29/2014,49.051998
9/30/2014,48.535999
10/1/2014,48.048
10/2/2014,50.284
10/3/2014,51.042
10/6/2014,52.124001
